timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741290009741,700,16 Get Stock Prices Request,200,OK,User Thread Group 1-163,text,false,,400,587,319,319,http://localhost:8080/transaction/getStockPrices,700,0,0
1741290008491,1951,16 Get Stock Prices Request,200,OK,User Thread Group 1-793,text,false,,400,596,318,318,http://localhost:8080/transaction/getStockPrices,1951,0,0
1741290009828,620,16 Get Stock Prices Request,200,OK,User Thread Group 1-181,text,false,,400,594,317,317,http://localhost:8080/transaction/getStockPrices,620,0,0
1741290008491,1959,16 Get Stock Prices Request,200,OK,User Thread Group 1-789,text,false,,400,599,316,316,http://localhost:8080/transaction/getStockPrices,1959,0,0
1741290008386,2064,16 Get Stock Prices Request,200,OK,User Thread Group 1-648,text,false,,400,592,316,316,http://localhost:8080/transaction/getStockPrices,2064,0,0
1741290008396,2058,16 Get Stock Prices Request,200,OK,User Thread Group 1-830,text,false,,400,591,314,314,http://localhost:8080/transaction/getStockPrices,2058,0,0
1741290008496,1963,16 Get Stock Prices Request,200,OK,User Thread Group 1-794,text,false,,400,602,313,313,http://localhost:8080/transaction/getStockPrices,1963,0,0
1741290008491,1969,16 Get Stock Prices Request,200,OK,User Thread Group 1-678,text,false,,400,602,312,312,http://localhost:8080/transaction/getStockPrices,1969,0,0
1741290008395,2066,16 Get Stock Prices Request,200,OK,User Thread Group 1-806,text,false,,400,603,311,311,http://localhost:8080/transaction/getStockPrices,2066,0,0
1741290008495,1971,16 Get Stock Prices Request,200,OK,User Thread Group 1-825,text,false,,400,606,310,310,http://localhost:8080/transaction/getStockPrices,1971,0,0
1741290010090,377,16 Get Stock Prices Request,200,OK,User Thread Group 1-229,text,false,,400,596,310,310,http://localhost:8080/transaction/getStockPrices,377,0,0
1741290009994,473,16 Get Stock Prices Request,200,OK,User Thread Group 1-165,text,false,,400,594,309,309,http://localhost:8080/transaction/getStockPrices,473,0,0
1741290010095,376,16 Get Stock Prices Request,200,OK,User Thread Group 1-205,text,false,,400,587,307,307,http://localhost:8080/transaction/getStockPrices,376,0,0
1741290010073,403,16 Get Stock Prices Request,200,OK,User Thread Group 1-203,text,false,,400,591,306,306,http://localhost:8080/transaction/getStockPrices,402,0,0
1741290010032,444,16 Get Stock Prices Request,200,OK,User Thread Group 1-193,text,false,,400,600,306,306,http://localhost:8080/transaction/getStockPrices,444,0,0
1741290010115,366,16 Get Stock Prices Request,200,OK,User Thread Group 1-232,text,false,,400,603,304,304,http://localhost:8080/transaction/getStockPrices,366,0,0
1741290010110,375,16 Get Stock Prices Request,200,OK,User Thread Group 1-220,text,false,,400,603,303,303,http://localhost:8080/transaction/getStockPrices,375,0,0
1741290010122,363,16 Get Stock Prices Request,200,OK,User Thread Group 1-243,text,false,,400,587,303,303,http://localhost:8080/transaction/getStockPrices,363,0,0
1741290010117,378,16 Get Stock Prices Request,200,OK,User Thread Group 1-240,text,false,,400,602,301,301,http://localhost:8080/transaction/getStockPrices,378,0,0
1741290010115,381,16 Get Stock Prices Request,200,OK,User Thread Group 1-188,text,false,,400,587,300,300,http://localhost:8080/transaction/getStockPrices,381,0,0
1741290010124,381,16 Get Stock Prices Request,200,OK,User Thread Group 1-196,text,false,,400,596,299,299,http://localhost:8080/transaction/getStockPrices,381,0,0
1741290010125,384,16 Get Stock Prices Request,200,OK,User Thread Group 1-241,text,false,,400,599,298,298,http://localhost:8080/transaction/getStockPrices,384,0,0
1741290010126,386,16 Get Stock Prices Request,200,OK,User Thread Group 1-201,text,false,,400,598,297,297,http://localhost:8080/transaction/getStockPrices,386,0,0
1741290010133,379,16 Get Stock Prices Request,200,OK,User Thread Group 1-224,text,false,,400,592,297,297,http://localhost:8080/transaction/getStockPrices,379,0,0
1741290010135,385,16 Get Stock Prices Request,200,OK,User Thread Group 1-223,text,false,,400,588,295,295,http://localhost:8080/transaction/getStockPrices,385,0,0
1741290010136,385,16 Get Stock Prices Request,200,OK,User Thread Group 1-244,text,false,,400,602,294,294,http://localhost:8080/transaction/getStockPrices,385,0,0
1741290010137,388,16 Get Stock Prices Request,200,OK,User Thread Group 1-254,text,false,,400,590,293,293,http://localhost:8080/transaction/getStockPrices,388,0,0
